,author,published_at,updated_at,like_count,text
48,@mssalins,2024-06-14T09:28:40Z,2024-06-14T09:28:40Z,0,That&#39;s why there should be no religion talks in politics. Politics should be purely about the development on the country in all quarters.
49,@mahiscreation6262,2024-06-14T09:27:16Z,2024-06-14T09:27:16Z,0,Terko India pasand nahi hai to humko kaunsa Pakistan pasand hai bhayiyo sahmat hai to like kare
50,@user-hj5mx1qe1u,2024-06-14T09:26:26Z,2024-06-14T09:26:26Z,0,Beautiful Woman Terrorist Of Pakistan.
51,@afrozfatima9279,2024-06-14T09:26:18Z,2024-06-14T09:26:18Z,0,Isce ghatiya logo ky vedeo dekhne se acha hai koi cartoon show dekh kay ..yeh sirf hamare mulk se jlty hai bs .🇮🇳
52,@jmdanceacademytinsukia4533,2024-06-14T09:25:02Z,2024-06-14T09:25:02Z,0,Pakisthani ka lesson hai loura lesson 😊😅😅😅😅😅😅😅😅😅
53,@chabilalpokhrel5191,2024-06-14T09:23:33Z,2024-06-14T09:23:33Z,0,"माद्रासाछाप खातून का ज्ञान तो कुछ नहीं, क्रिकेट का क भी नही आता, आये बतियाने माईक पर."
54,@ABCD-cw3fs,2024-06-14T09:22:51Z,2024-06-14T09:22:51Z,0,"आएगा पसंद आएगा,😅,हाथ में ले, प्यार से सहला🍌👏,,, फिर देख पसंद भी आएगा प्यार भी आएगा🧕आजा👩‍🔬👩‍💼"
55,@tigerraj317,2024-06-14T09:21:02Z,2024-06-14T09:21:02Z,0,Kyu ki USA inko bhikh deti hai 😂😂😂😂😂
56,@outlaw8887,2024-06-14T09:20:49Z,2024-06-14T09:20:49Z,0,Agenda running Youtube channel
57,@sanasingh1454,2024-06-14T09:20:12Z,2024-06-14T09:20:12Z,0,Bhai Pakistan main gadhe Abadi ek lakh upar chala gaya Pakistan no 1 devloped country ban jayenge 😂😂😂
58,@afrozfatima9279,2024-06-14T09:20:01Z,2024-06-14T09:23:37Z,0,Jahil aurty jahil khoom jahil Pakistani log .inko bto Pakistan se zyada muslim India main hain..🇮🇳🇮🇳🇮🇳 from India
59,@awasthi108,2024-06-14T09:19:20Z,2024-06-14T09:19:20Z,0,Kuch nahi ho sakta in chutiyo ka bheek hi mangni padegi inko hamesha 😂😂😂
60,@ABCD-cw3fs,2024-06-14T09:18:47Z,2024-06-14T09:18:47Z,0,"ये भूखे नंगें😵 ,,फिर भी लेंते पंगे,,🤼 करते हैं ये दंगे ,🤾 असल में हैं भिखमंगे😫"
61,@uttamdas7143,2024-06-14T09:14:29Z,2024-06-14T09:17:17Z,0,Pakistani mai gadho ki abadi barne ki sath waha ki insani ki buddhi bhi gadho ki tara hai. Jitna pakistan ki har se maje aatahai usse jayada in gadho ki bate sunkarvmaxa maza ata hai😂😂😂😂😂
62,@maitreychahataray3535,2024-06-14T09:13:51Z,2024-06-14T09:13:51Z,0,Madarsa chhaap ...katora chhapoon😂😂
63,@arunnair4483,2024-06-14T09:10:12Z,2024-06-14T09:11:08Z,0,पाकिस्तानी भिखारियो!  तेरी औकात नहीं हम इंडियंस का <b>**</b>  चाटने के भी लायक नहीं हो।🖕
64,@gccba1,2024-06-14T09:09:56Z,2024-06-14T09:09:56Z,0,Like  we care if Pakistan exist or not 😂
65,@ManojKumar-fv4xg,2024-06-14T09:04:48Z,2024-06-14T09:04:48Z,0,Unpadh Besharam nalayak jahilo se kya interview
66,@ManojKumar-fv4xg,2024-06-14T09:03:24Z,2024-06-14T09:03:24Z,0,Na-pak 😂
67,@mohammednafees2240,2024-06-14T09:03:13Z,2024-06-14T09:03:13Z,0,Tum ho hi nafrati dimag ke ghanta nhi ukhad paoge nafrat karte rho ham Indian ko dhanta fark nhi padta 😄 🤣 😂 😆.  Ham Indian duniya ke sath pyar se rahte hn tum apna socho 😄 🤣 😂 😆 loved India 🇮🇳
68,@rkd2009,2024-06-14T09:01:47Z,2024-06-14T09:01:47Z,0,These Pakistani dumb broads with empty brain will have no knowledge of the outside world. All they do is make babies and get fat
69,@user-vq3hc3bi3f,2024-06-14T08:58:42Z,2024-06-14T08:58:42Z,0,Keep hating and minding your own business. India is set on the right path and doesnt care what is going on in yr country.
70,@rameshthorthi3476,2024-06-14T08:56:44Z,2024-06-14T08:56:44Z,0,"Uska bhai dekhta hai, aur usko kaha samjatha hoga"
71,@its_ds_rock,2024-06-14T08:56:17Z,2024-06-14T08:56:17Z,0,Sare ke sare Mia Khalifa ke behen the... 😜🤣
72,@sunnypadmanabhan9028,2024-06-14T08:55:53Z,2024-06-14T08:55:53Z,0,Madrasa product....😂😂😂😂😂
73,@wajahat7133,2024-06-14T08:54:59Z,2024-06-14T08:54:59Z,0,Support India from Pakistan ❤❤❤
74,@pradipkumar6076,2024-06-14T08:54:13Z,2024-06-14T08:54:13Z,0,Becouse they are born in madarsa.
75,@user-zr5ci9zw2l,2024-06-14T08:53:08Z,2024-06-14T08:53:08Z,0,Aap pakistanon ko peeth peeche bar karne ki adat
76,@user-qz5oh3bm2m,2024-06-14T08:52:50Z,2024-06-14T08:52:50Z,0,Or aata gehu ka kiya hal h pakistaniyo
77,@AnilKumar-oi6hj,2024-06-14T08:50:29Z,2024-06-14T08:50:29Z,0,Free ka ata mil jaye vo khayenge par india ko support nahi karenge 😂😂
78,@PoorabSing-gx7gp,2024-06-14T08:50:20Z,2024-06-14T08:50:20Z,0,हड़ बाढ़
79,@KrishanChand-td9wv,2024-06-14T08:50:17Z,2024-06-14T08:50:17Z,0,Pakistan me sasta nasa admi karte han.par aaj patta chala .khatune bhi kar rahi han😅😅😅😅
80,@user-ws7hw7mi2j,2024-06-14T08:49:19Z,2024-06-14T08:49:19Z,0,India tumhara also baap hai USA tumhara najayaj baap hai. USA tumari gand maarlgya tumhe nahi pata v hai😅😅😅😅😅
81,@TheCommunal108,2024-06-14T08:48:31Z,2024-06-14T08:48:31Z,0,Muglo ne jinko patak k choda tha unko aaulade allah allah bol rhi h .😂😂😂
82,@SonuKumar-dr9yp,2024-06-14T08:48:09Z,2024-06-14T08:48:09Z,0,No 1 madrasa chhap 😅😅😅😅
83,@srikanthkanth3520,2024-06-14T08:47:22Z,2024-06-14T08:52:23Z,0,Pagal ladki  log.😂😂😂
84,@AmitDeb007,2024-06-14T08:46:18Z,2024-06-14T08:46:18Z,0,Porkistan girl : sirf meri black hole 🕳  tight he 💀
85,@devjsham1599,2024-06-14T08:45:55Z,2024-06-14T08:45:55Z,0,kaun sa sasta  nasha kar rahe hai ye pakistani :D
86,@user-xs2nr4qq2k,2024-06-14T08:44:07Z,2024-06-14T08:44:07Z,0,पाकिस्तान अपने विचार से फेल है
87,@Ayan98088,2024-06-14T08:43:16Z,2024-06-14T08:43:16Z,0,"Samjh nhi ata duniya mein or v bahut sara news hai lekin kuch channel sirf har waqt pakistan pakistan ko lekr hi videos banate hai,arre pakistan ko itna value kyunhi dete ho...ekto kom se bana desh dusra jo kom hai woh hai hi zahil"
88,@AbcAbcxyzxyzxyz,2024-06-14T08:42:32Z,2024-06-14T08:42:47Z,0,भारत पाकिस्तान का हालाला कर दिया फि
89,@ganshyamkoul4102,2024-06-14T08:39:10Z,2024-06-14T08:39:10Z,0,First arrange foodgrains vegetables medicines then think of cricket foolish people.
90,@nightsilent6,2024-06-14T08:37:10Z,2024-06-14T08:37:10Z,0,Khane ko khana nhi h or India se nafrat h bhik me mili zamin pr itna gurur ek din wo v wapas chin liya jayega loundiya
91,@user-ck8tc5sg5i,2024-06-14T08:36:20Z,2024-06-14T08:36:20Z,0,Etna nafrat atsa nahi he khut gir jaugi aplok
92,@jkm6563,2024-06-14T08:35:54Z,2024-06-14T08:35:54Z,0,Pehli larki to chusa  hua aam hai😂😂😂😂
93,@user-ck8tc5sg5i,2024-06-14T08:35:23Z,2024-06-14T08:35:23Z,0,Pakistani larka larki burbok he India ko Etna nafrat he hum khavi nahi Pakistani ko nafrat nahi karti liken India ko kyu jalan se Pakistani ap lok me India se hu meghalaya se
94,@bestreply2650,2024-06-14T08:35:15Z,2024-06-14T08:35:15Z,0,"Inko sirf Israel , theek Kar sakta hai 😂"
95,@deepakadam3205,2024-06-14T08:34:26Z,2024-06-14T08:35:55Z,0,Kasrolistan. Arre yaar yeh log kitne anpad gavaar .
96,@fullmovieexplained007,2024-06-14T08:33:56Z,2024-06-14T08:33:56Z,1,Kudrat ka nizam <br>Or urta hua jaam <br>Kabhi bhi kami nahi hoga <br>In Pakistan logo ke pass
97,@molaydey2761,2024-06-14T08:30:44Z,2024-06-14T08:30:44Z,0,Effects of madrasa education.
98,@mangeshkadam9974,2024-06-14T08:28:18Z,2024-06-14T08:28:18Z,0,Anpad gavar. Isliye tum log piche hai.
99,@kirtisharma4741,2024-06-14T08:27:54Z,2024-06-14T08:27:54Z,0,Bhout daya aati h Pakistani education system per kuch seekhaya hi nhi duniadaari ke bare me her feaild me ye log aise hi h 😂😂😂
